# This is finesse result simulated at 2020-10-06 15:31:27.008841 
# x pd0_AS pd0_REFL 
-133.56 0.955811605446509 0.0381935220205128
-133.2 0.954503674473797 0.039501452993225
-132.84 0.952906775993599 0.0410983514734231
-132.48 0.951021918641194 0.0429832088258275
-132.12 0.948850292932859 0.0451548345341633
-131.76 0.946393270513907 0.0476118569531145
-131.4 0.943652403292335 0.0503527241746861
-131.04 0.9406294224586 0.0533757050084222
-130.68 0.93732623739216 0.0566788900748614
-130.32 0.933744934455477 0.0602601930115448
-129.96 0.929887775676219 0.0641173517908035
-129.6 0.925757197318514 0.0682479301485071
-129.24 0.921355808344163 0.0726493191228585
-128.88 0.916686388764751 0.0773187387022702
-128.52 0.911751887885742 0.0822532395812794
-128.16 0.906555422443628 0.0874497050233938
-127.8 0.901100274637336 0.0929048528296857
-127.44 0.895389890055118 0.0986152374119037
